	artist	song
143995	John Michael Montgomery	I Swear
143999	Sheryl Crow	Leaving Las Vegas
144001	The Conscious Daughters	Somethin' To Ride To (Fonky Expedition)
144005	Black Moon	I Got Cha Opin
144006	Morrissey	The More You Ignore Me, The Closer I Get
144008	Michael Bolton	Completely
144009	Smif-N-Wessun	Bucktown
144010	Wu-Tang Clan	C.R.E.A.M. (Cash Rules Everything Around Me)
144106	Lighter Shade Of Brown	"Hey D.J. (From ""Mi Vida Loca"")"
144108	M.C. Hammer	It's All Good
144109	Juliet Roberts	I Want You
144110	The Sounds Of Blackness	I Believe
144149	Toni Braxton	Breathe Again
144159	Phil Collins	Everyday
144168	Snoop Doggy Dogg	Gin And Juice
144172	Janet Jackson	Because Of Love
144195	Tony Toni Tone	Leavin'
144202	Meat Loaf	Rock And Roll Dreams Come Through
144208	Jocelyn Enriquez	I've Been Thinking About You
144306	Rosco Martinez	Neon Moonlight
144307	2 In A Room	El Trago (The Drink)
144308	Nas	It Ain't Hard To Tell
144310	I To I	"The Right Time (From ""Four Weddings And A Funeral"")"
144349	All-4-One	So Much In Love
144351	US3	Cantaloop (Flip Fantasia)
144356	12 Gauge	Dunkie Butt (Please Please Please)
144384	Zhane	Groove Thang
144393	Eternal	Stay
144400	The Brand New Heavies	Dream On Dreamer
144410	Sweet Sable	"Old Times' Sake (From ""Above The Rim"")"
144457	10,000 Maniacs	Because The Night
144460	Ace Of Base	All That She Wants
144497	Danzig	Mother
144502	Queen Latifah	Just Another Day
144505	After 7	"Gonna Love You Right (From ""Sugar Hill"")"
144510	Simple E	"Play My Funk (From ""Sugar Hill"")"
144559	Mariah Carey	Hero
144585	Rod Stewart	Having A Party
144592	CeCe Peniston	I'm In The Mood
144599	Dawn Penn	You Don't Love Me (No, No, No)
144600	Expose	In Walked Love
144603	Gang Starr	Mass Appeal
144606	Billy Joel	Lullabye (Goodnight, My Angel)
144608	A Tribe Called Quest	Electric Relaxation (Relax Yourself Girl)
144654	Tom Petty And The Heartbreakers	Mary Jane's Last Dance
144687	Xscape	Understanding
144697	K7	Zunga Zeng
144699	Mint Condition	U Send Me Swingin'
144700	Tori Amos	God
144705	Color Me Badd	Choose
144706	Shaquille O'Neal	I'm Outstanding
144709	The Knack	"My Sharona (From ""Reality Bites"")"
144745	Bryan Adams	Please Forgive Me
144797	James	Laid
144804	Neal McCoy	No Doubt About It
144805	Little Texas	My Love
144808	SWV	Always On My Mind
144809	Guns N' Roses	Since I Don't Have You
144851	Bryan Adams/Rod Stewart/Sting	All For Love
144853	Aerosmith	Amazing
144860	Jimmy Cliff	"I Can See Clearly Now (From ""Cool Runnings"")"
144901	Heart	Will You Be There (In The Morning)
144906	Tony Toni Tone	(Lay Your Head On My) Pillow
144909	Sagat	Funk Dat/Why Is It?
144958	Gabrielle	Dreams
144959	Michael Bolton	Said I Loved You...But I Lied
144999	The Breeders	Cannonball
145005	2Pac Duet With Mopreme	Papa'z Song
145008	Reel 2 Real Featuring The Mad Stuntman	I Like To Move It
145009	Shyheim	On And On
145010	Deep Forest	Sweet Lullaby
145055	Jodeci	Cry For You
145060	Tevin Campbell	Can We Talk
145081	Queen Latifah	U.N.I.T.Y.
145088	Domino	Getto Jam
145089	Collage	I'll Be Loving You
145109	Aretha Franklin	"A Deeper Love (From ""Sister Act 2"")"
145110	Haddaway	Life (Everybody Needs Somebody To Love)
145157	Tag Team	Whoomp! (There It Is)
145158	The Cranberries	Linger
145188	Little Texas	What Might Have Been
145207	Def Leppard	Miss You In A Heartbeat
145209	Elton John & RuPaul	Don't Go Breaking My Heart
145210	Mr. Big	Ain't Seen Love Like That
145245	Salt-N-Pepa	Shoop
145254	Janet Jackson	Again
145258	Babyface	Never Keeping Secrets
145307	Nine Inch Nails	March Of The Pigs
145309	Snoop Dogg	What's My Name?
145310	Mary J. Blige	You Don't Have To Worry
145372	Culture Beat	Mr. Vain
145387	Billy Joel	All About Soul
145392	Lisette Melendez	Goody Goody
145400	Lenny Kravitz	Heaven Help/Spinning Around Over You
145404	Chantay Savage	Betcha'll Never Find
145410	Brooks & Dunn	Rock My World (Little Country Girl)
145468	2Pac	Keep Ya Head Up
145493	Zapp & Roger	Slow And Easy
145497	MeShell Ndegeocello	If That's Your Boyfriend (He Wasn't Last Night)
145503	U2	Stay (Faraway, So Close!)
145509	Bjork	Big Time Sensuality
145510	KRS-One	Sound Of Da Police
145556	Joshua Kadison	Jessie
145586	A Tribe Called Quest	Award Tour
145594	Joe Diffie	John Deere Green
145601	Color Me Badd	Time And Chance
145603	To Be Continued...	One On One
145604	R. Kelly	Sex Me (Parts I & II)
145605	Vince Gill	Tryin' To Get Over You
145608	Shaquille O'Neal	(I Know I Got) Skillz
145609	Too $hort	Money In The Ghetto
145665	DRS	Gangsta Lean
145692	NKOTB	Dirty Dawg
145693	Hi-Five	"Never Should've Let You Go (From ""Sister Act 2"")"
145704	Shabba Ranks Featuring Patra And Terri & Monica	"Family Affair (From ""Addams Family Values"")"
145706	Doug Stone	I Never Knew Love
145707	Eazy-E	Real Muthaphuckkin G's
145708	The Goodmen	Give It Up
145709	Blackgirl	Krazy
145710	Johnny O	Runaway Love
145759	Mariah Carey	Dreamlover
145760	Haddaway	What Is Love
145783	Mr. Big	Wild World
145803	UB40	Higher Ground
145804	Shai	Yours
145806	Born Jamericans	Boom Shak A-Tack
145807	Phil Collins	Both Sides Of The Story
145808	Cypress Hill	We Ain't Goin' Out Like That
145810	Jeru The Damaja	Come Clean
145860	Meat Loaf	I'd Do Anything For Love (But I Won't Do That)
145907	Dwight Yoakam	Fast As You
145908	Elton John & Kiki Dee	True Love
145909	Kenny G	Sentimental
145910	The Lemonheads	Into Your Arms
145959	Xscape	Just Kickin' It
145960	Zhane	Hey Mr. D.J.
145989	Tony Toni Tone	Anniversary
145997	Rozalla	"I Love Music (From ""Carlito's Way"")"
146005	Lisa Keith	I'm In Love
146006	Mista Grimm	"Indo Smoke (From ""Poetic Justice"")"
146008	Ice Cube	Really Doe
146010	Jade	Looking For Mr. Do Right
146060	Billy Joel	The River Of Dreams
146108	Das EFX	Freakit
146109	Kate Bush	Rubberband Girl
146110	Little Texas	God Blessed Texas
146154	Blind Melon	No Rain
146155	K7	Come Baby Come
146157	Aerosmith	Cryin'
146158	Inner Circle	Sweat (A La La La La Long)
146159	Janet Jackson	If
146177	Def Leppard	"Two Steps Behind (From ""Last Action Hero"")"
146197	Boyz II Men Featuring Brian McKnight	Let It Snow
146202	R.E.M.	Everybody Hurts
146205	Dr. Dre	Let Me Ride
146208	Trisha Yearwood	The Song Remembers When
146209	Lords Of The Underground	Here Come The Lords
146272	Intro	Come Inside
146289	Rick Astley	Hopelessly
146306	Tag Team	Addams Family (Whoomp!)
146307	Clay Walker	What's It To You
146308	Jazzy Jeff & The Fresh Prince	I'm Looking For The One (To Be With Me)
146309	Expose	As Long As I Can Dream
146367	Red Hot Chili Peppers	"Soul To Squeeze (From ""Coneheads"")"
146397	Wu-Tang Clan	Method Man
146406	Souls Of Mischief	93 'til Infinity
146409	Nightcrawlers	Push The Feeling On
146498	Taylor Dayne	Send Me A Lover
146500	Lisa Keith	Better Than You
146510	Reality	Yolanda
146558	Toni Braxton	Another Sad Love Song
146562	Rod Stewart	Reason To Believe
146600	Robin S.	Love For Love
146602	Kris Kross	I'm Real
146604	RAab	Foreplay
146605	Bell Biv DeVoe	Something In Your Eyes
146609	Inner Circle	Rock With You
146610	MC Ren	Same Ol' Shit
146659	Gin Blossoms	Hey Jealousy
146660	2Pac	I Get Around
146701	Bruce Hornsby	Fields Of Gray
146702	John Mellencamp	Human Wheels
146706	En Vogue Featuring FMOB	Runaway Love
146707	Jazzy Jeff & The Fresh Prince	Boom! Shake The Room
146710	Bee Gees	Paying The Price Of Love
146760	SWV	Right Here (Human Nature)/Downtown
146797	Ice Cube Featuring Das EFX	Check Yo Self
146803	Sting	Nothing 'Bout Me
146809	George Strait	Easy Come, Easy Go
146859	Soul Asylum	Runaway Train
146885	Madonna	Rain
146906	Clive Griffin	Commitment Of The Heart
146907	Shaggy	Oh Carolina
146908	Erick Sermon	Stay Real
146909	Kris Kross Featuring Supercat	Alright
146910	Spin Doctors	Jimmy Olsen's Blues
146959	UB40	"Can't Help Falling In Love (From ""Sliver"")"
146970	Michael Jackson	Will You Be There
146977	Tears For Fears	Break It Down Again
146980	MC Lyte	Ruffneck
146984	Celine Dion And Clive Griffin	"When I Fall In Love (From ""Sleepless In Seattle"")"
147057	Shai	Baby I'm Yours
147060	Jodeci	Lately
147070	Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson	Very Special
147082	Cypress Hill	Insane In The Brain
147084	Dino	Ooh Child
147101	Lords Of The Underground	Chief Rocka
147102	Alan Jackson	Chattahoochee
147106	Joe	I'm In Luv
147108	Lonnie Gordon	Happenin' All Over Again
147110	Jody Watley	Your Love Keeps Working On Me
147198	Duran Duran	Too Much Information
147202	Prince	Pink Cashmere
147203	Zapp & Roger	Mega Medley
147255	Tina Turner	"I Don't Wanna Fight (From ""What's Love Got To Do With It"")"
147257	Brian McKnight	One Last Cry
147287	Jon Secada	I'm Free
147303	Too $hort	I'm A Player
147304	Radiohead	Creep
147309	Whitney Houston	Run To You
147310	Aaron Neville	The Grand Tour
147359	Tony Toni Tone	If I Had No Loot
147398	Silk	Girl U For Me/Lose Control
147403	Earth, Wind & Fire	Sunday Morning
147406	Naughty By Nature	Written On Ya Kitten
147407	Onyx	Shifftee
147409	Illegal	We Getz Busy
147410	Tina Turner	Why Must We Wait Until Tonight
147459	The Proclaimers	I'm Gonna Be (500 Miles)
147498	Fu-Schnickens W/ Shaquille O'Neal	What's Up Doc? (Can We Rock)
147504	Yo-Yo	The Bonnie And Clyde Theme
147508	Lenny Kravitz	Believe
147509	TLC	"Get It Up (From ""Poetic Justice"")"
147556	SWV	Weak
147558	95 South	Whoot, There It Is
147560	4 Non Blondes	What's Up
147565	Sting	Fields Of Gold
147577	Jade	One Woman
147584	U.N.V.	Something's Goin' On
147601	Fat Joe	Flow Joe
147606	Terence Trent D'Arby	Delicate
147607	Taylor Dayne	Can't Get Enough Of Your Love
147610	De La Soul	Breakadawn
147653	Robin S.	Show Me Love
147657	Expose	I'll Never Get Over You (Getting Over Me)
147660	Duice	Dazzey Duks
147672	Onyx	Slam
147697	Daryl Hall	I'm In A Philly Mood
147698	Babyface	For The Cool In You
147705	H-Town	Lick U Up
147707	Peter Cetera	Even A Fool Can See
147708	Legacy Of Sound Featuring Meja	Happy
147710	Darden Smith	Loving Arms
147757	Janet Jackson	That's The Way Love Goes
147759	Duran Duran	Come Undone
147783	Aaron Neville	Don't Take Away My Heaven
147794	Kenny G With Peabo Bryson	By The Time This Night Is Over
147802	MC Eiht	"Streiht Up Menace (From ""Menace II Society"")"
147804	New Order	World (The Price Of Love)
147805	Billy Ray Cyrus	In The Heart Of A Woman
147807	Stereo MC's	Step It Up
147808	Joey Lawrence	Stay Forever
147809	Luther Vandross	Heaven Knows
147810	P.M. Dawn	The Ways Of The Wind
147856	H-Town	Knockin' Da Boots
147857	Dr. Dre	Dre Day
147883	II D Extreme	Cry No More
147903	Shanice	"It's For You (From ""The Meteor Man"")"
147909	Levert	ABC-123
147910	Raven-Symone	That's What Little Girls Are Made Of
147955	Rod Stewart	Have I Told You Lately
147997	David Crosby & Phil Collins	Hero
148009	Nuttin' Nyce	In My Nature
148075	Captain Hollywood Project	More And More
148103	Inner Circle	"Bad Boys (Theme From ""Cops"")"
148104	G-Wiz	Teddy Bear
148105	LL Cool J	Back Seat (Of My Jeep)
148108	AC/DC	"Big Gun (From ""Last Action Hero"")"
148109	Naughty By Nature	It's On
148110	Porno For Pyros	Pets
148208	New Order	Regret
148209	Snow	Girl, I've Been Hurt
148210	Bon Jovi	I'll Sleep When I'm Dead
148302	The Steve Miller Band	Wide River
148303	Scarface	Let Me Roll
148308	Mary J. Blige	Love No Limit
148310	M.C. Breed	Gotta Get Mine
148395	Aerosmith	Livin' On The Edge
148401	Bon Jovi	In These Arms
148404	Clint Black With Wynonna	A Bad Goodbye
148405	10,000 Maniacs	Few And Far Between
148408	The Pharcyde	Passin' Me By
148410	Big Mountain	Touch My Light
148459	Spin Doctors	Two Princes
148460	Jade	Don't Walk Away
148501	George Michael	Killer/Papa Was A Rollin' Stone
148506	Jordy	Dur Dur D'etre BeBe! (It's Tough To Be A Baby)
148508	Geto Boys	Six Feet Deep
148510	Jomanda	I Like It
148556	SWV	I'm So Into You
148558	P.M. Dawn	Looking Through Patient Eyes
148575	Green Jelly	Three Little Pigs
148590	Stereo MC's	Connected
148609	Michael Jackson	Who Is It
148610	Hi-Five	"Unconditional Love (From ""Menace II Society"")"
148653	Vanessa Williams/Brian McKnight	"Love Is (From ""Beverly Hills, 90210"")"
148654	Dr. Dre	"Nuthin' But A ""G"" Thang"
148657	Silk	Freak Me
148691	Jeremy Jordan	Wannagirl
148707	John Michael Montgomery	I Love The Way You Love Me
148709	Rodney O & Joe Cooley	U Don't Hear Me Tho'
148710	Rodney O & Joe Cooley	Humps For The Blvd.
148794	Johnny Gill	The Floor
148795	Depeche Mode	Walking In My Shoes
148799	Luther Vandross	Little Miracles (Happen Every Day)
148801	Tasmin Archer	Sleeping Satellite
148807	Wynonna	Tell Me Why
148809	Regina Belle	If I Could
148810	Boy Krazy	Good Times With Bad Boys
148858	Ice Cube	It Was A Good Day
148892	Joey Lawrence	Nothin' My Love Can't Fix
148905	Boss	Deeper
148909	1 Of The Girls	Do Da What
148910	Young Black Teenagers	Tap The Bottle
148948	Paperboy	Ditty
148963	Whitney Houston	I Have Nothing
148965	R. Kelly & Public Announcement	Dedicated
148992	Run-D.M.C.	Down With The King
149000	Christopher Williams	Every Little Thing U Do
149001	Patty Smyth	I Should Be Laughing
149007	En Vogue	Love Don't Love You
149008	George Michael & Queen	Somebody To Love
149010	Jodeci	"Let's Go Through The Motions (From ""Who's The Man?"")"
149060	Shai	Comforter
149089	Sting	If I Ever Lose My Faith In You
149097	Men At Large	So Alone
149100	Sunscreem	Love U More
149104	Boy George	"The Crying Game (From ""The Crying Game"")"
149106	Tracy Lawrence	Alibis
149107	Toby Keith	Should've Been A Cowboy
149109	Prince Markie Dee And The Soul Convention	Typical Reasons (Swing My Way)
149110	Dr. Alban	It's My Life
149147	Jon Secada	Angel
149153	Naughty By Nature	Hip Hop Hooray
149158	Bizarre Inc	I'm Gonna Get You
149162	Snow	Informer
149180	Ugly Kid Joe	Cat's In The Cradle
149192	Mary J. Blige	Sweet Thing
149198	Freedom Williams	Voice Of Freedom
149208	RuPaul	Supermodel (You Better Work)
149209	Roxette	"Almost Unreal (From ""Super Mario Bros."")"
149210	New Born	Falling In Love
149298	Restless Heart Featuring Warren Hill	Tell Me What You Dream
149300	Sade	No Ordinary Love
149302	MC Nas-D & DJ Fred	Gold Diggin' Girls
149303	Tene Williams	Give Him A Love He Can Feel
149309	Damn Yankees	"Silence Is Broken (From ""Nowhere To Run"")"
149310	Bobby Brown	That's The Way Love Is
149355	Whitney Houston	"I'm Every Woman (From ""The Bodyguard"")"
149405	Baltimora	"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")"
149406	Neneh Cherry	Buddy X
149407	Prince And The New Power Generation	The Morning Papers
149408	Elton John	Simple Life
149409	Dolly Parton & Friends	Romeo
149410	Gloria Estefan	I See Your Smile
149451	Boy Krazy	That's What Love Can Do
149459	Duran Duran	Ordinary World
149470	Bon Jovi	Bed Of Roses
149507	Lords Of The Underground	Funky Child
149508	Belly	Feed The Tree
149509	House Of Pain	"Who's The Man? (From ""Who's The Man"")"
149554	Arrested Development	Mr. Wendal
149560	Jeremy Jordan	"The Right Kind Of Love (From ""Beverly Hills, 90210"")"
149600	Digable Planets	Rebirth Of Slick (Cool Like Dat)
149602	Sade	Kiss Of Life
149603	Def Leppard	Tonight
149608	Wendy Moten	Come In Out Of The Rain
149609	Levert	Good Ol' Days
149610	LL Cool J	How I'm Comin'
149656	Peabo Bryson & Regina Belle	A Whole New World (Aladdin's Theme)
149660	Kenny G	Forever In Love
149706	Depeche Mode	I Feel You
149707	The Jeff Healey Band	Lost In Your Eyes
149709	Go West	What You Won't Do For Love
149710	Funkdoobiest	Bow Wow Wow
149760	Positive K	I Got A Man
149799	R.E.M.	Man On The Moon
149805	Bobby Ross Avila	La La Love
149806	TLC	Hat 2 Da Back
149860	Snap!	Rhythm Is A Dancer
149902	10,000 Maniacs	Candy Everybody Wants
149907	Billy Ray Cyrus	She's Not Cryin' Anymore
149908	INXS	Beautiful Girl
149909	Faith No More	Easy
149910	Michael Cooper	Shoop Shoop (Never Stop Givin' You Love)
149957	Prince And The New Power Generation	7
149996	Bobby Brown	Get Away
149998	Remedy	Closer
150007	Madonna	Bad Girl
150008	Mary J. Blige	Reminisce
150009	Wreckx-N-Effect	Knock-N-Boots
150010	Lo-Key?	Sweet On U
150052	Michael Jackson	Heal The World
150095	Mary Chapin Carpenter	Passionate Kisses
150098	Michael W. Smith	Somebody Love Me
150104	Chaka Demus & Pliers	Murder She Wrote
150107	Bad Boys Blue	Save Your Love
150108	Dina Carroll	So Close
150109	The Flavor Unit MC's	Roll Wit Tha Flava
150110	Sybil	You're The Love Of My Life/The Love I Lost
150148	Portrait	Here We Go Again!
150155	Shai	If I Ever Fall In Love
150157	Jon Secada	Do You Believe In Us
150178	En Vogue	Give It Up, Turn It Loose
150191	Father M.C.	Everything's Gonna Be Alright
150206	Sound Factory	Understand This Groove
150207	Lighter Shade Of Brown	Homies
150208	Brand Nubian	Love Me Or Leave Me Alone
150209	Onyx	Throw Ya Gunz
150210	Monie Love	Born 2 B.R.E.E.D.
150258	Wreckx-N-Effect	Rump Shaker
150272	Boyz II Men	"In The Still Of The Nite (From ""The Jacksons"")"
150304	Jude Cole	Tell The Truth
150308	Patty Smyth	No Mistakes
150309	Annie Lennox	Little Bird
150310	Rapination & Kym Mazelle	Love Me The Right Way
150359	Shanice	"Saving Forever For You (From ""Beverly Hills, 90210"")"
150406	Poison	Stand
150407	Black Moon	Who Got The Props
150409	Apache	Gangsta Bitch
150459	Mary J. Blige	Real Love
150468	Restless Heart	When She Cries
150469	Toad The Wet Sprocket	Walk On The Ocean
150483	Toni Braxton	"Love Shoulda Brought You Home (From ""Boomerang"")"
150485	Lo-Key?	I Got A Thang 4 Ya!
150498	Madonna	Deeper And Deeper
150499	Paul McCartney	Hope Of Deliverance
150501	Hi-Five	Quality Time
150505	Peter Gabriel	Steam
150555	Bobby Brown	Good Enough
150557	P.M. Dawn	"I'd Die Without You (From ""Boomerang"")"
150570	Go West	Faithful
150582	Genesis	Never A Time
150606	Martha Wash	Give It To You
150607	Alpha Team	Speed
150608	Dan Baird	I Love You Period
150609	Def Leppard	Stand Up (Kick Love Into Motion)
150690	Elton John	The Last Song
150704	Peter Cetera (Duet With Chaka Khan)	Feels Like Heaven
150707	Celine Dion	Love Can Move Mountains
150708	The S.O.U.L. S.Y.S.T.E.M.	It's Gonna Be A Lovely Day
150709	Cathy Dennis	Irresistible
150710	Mick Jagger	Sweet Thing
150755	TLC	What About Your Friends
150802	Debbie Gibson	Losin' Myself
150803	Silk	Happy Days
150805	After 7	Baby I'm For Real/Natural High
150806	Bell Biv DeVoe	Gangsta
150807	Brand Nubian	Punks Jump Up To Get Beat Down
150808	Chante Moore	Love's Taken Over
150809	AB Logic	Get Up (Move Boy Move)
150810	Extreme	Stop The World
150869	Michael Bolton	To Love Somebody
150885	Spin Doctors	Little Miss Can't Be Wrong
150908	Shabba Ranks (Featuring Johnny Gill)	Slow And Sexy
150909	Journey	Lights
150910	N2Deep	Toss-Up
150955	Boyz II Men	"End Of The Road (From ""Boomerang"")"
150959	Annie Lennox	Walking On Broken Glass
151004	Damn Yankees	Where You Goin' Now
151009	Mad Cobra	Flex
151010	U2	Who's Gonna Ride Your Wild Horses
151059	Charles & Eddie	Would I Lie To You?
151078	Eric Clapton	Layla
151085	The Heights	How Do You Talk To An Angel
151093	Trey Lorenz	Someone To Hold
151103	Classic Example	"It's Alright (From ""South Central"")"
151105	Shakespear's Sister	I Don't Care
151107	Madonna	Erotica
151108	Firehouse	Sleeping With You
151109	Goddess	Sexual
151110	House Of Pain	Shamrocks And Shenanigans (Boom Shalock Lock Boom)
151194	R.E.M.	Drive
151196	Expose	I Wish The Phone Would Ring
151207	10,000 Maniacs	These Are Days
151208	Bon Jovi	Keep The Faith
151209	Bad Company	This Could Be The One
151210	Chuckii Booker	Games
151256	Saigon Kick	Love Is On The Way
151258	N2Deep	Back To The Hotel
151308	Michael W. Smith	I Will Be Here For You
151309	SWV	Right Here
151310	The Soup Dragons	Pleasure
151358	Patty Smyth	Sometimes Love Just Ain't Enough
151370	En Vogue	Free Your Mind
151397	Color Me Badd	"Forever Love (From ""Mo' Money"")"
151407	Guns N' Roses	Yesterdays
151408	Smart E's	Sesame's Treet
151409	Ice Cube	Wicked
151410	Megadeth	Symphony Of Destruction
151454	TLC	Baby-Baby-Baby
151457	House Of Pain	Jump Around
151460	Arrested Development	People Everyday
151505	Richard Marx	Chains Around My Heart
151506	George LaMond	Baby, I Believe In You
151508	Grand Puba	360 Degrees (What Goes Around)
151509	Arrested Development	"Revolution (From ""Malcolm X"")"
151510	Darlene Love	"All Alone On Christmas (From ""Home Alone 2"")"
151592	Kris Kross	I Missed The Bus
151598	Al B. Sure!	Right Now
151604	Wynonna	No One Else On Earth
151665	Def Leppard	Have You Ever Needed Someone So Bad
151699	Billy Ray Cyrus	Could've Been Me
151708	Home Team	Pick It Up
151710	CeCe Peniston	Crazy Love
151758	Jon Secada	Just Another Day
151781	Firehouse	When I Look Into Your Eyes
151805	R. Kelly & Public Announcement	Slow Dance (Hey Mr. DJ)
151810	Tevin Campbell	Alone With You
151854	Bobby Brown	Humpin' Around
151891	The Movement	Jump!
151898	George LaMond	Where Does That Leave Love
151901	k.d. lang	Constant Craving
151903	Troop	Sweet November
151907	Prince And The New Power Generation	My Name Is Prince
151908	Maxi Priest	Groovin' In The Midnight
151909	The Rembrandts	Johnny Have You Seen Her?
151910	MC Serch	Here It Comes
151956	Toad The Wet Sprocket	All I Want
151957	Hi-Five	She's Playing Hard To Get
151960	K.W.S.	Please Don't Go
151967	Bryan Adams	Do I Have To Say The Words?
151982	AB Logic	The Hitman
151999	Genesis	Jesus He Knows Me
152006	Celine Dion	Nothing Broken But My Heart
152008	Miki Howard	Ain't Nobody Like You
152009	Jodeci	I'm Still Waiting
152010	Peter Gabriel	Digging In The Dirt
152100	Vanessa Williams	Work To Do
152101	EPMD	Crossover
152102	Del Amitri	Always The Last To Know
152103	Roxette	How Do You Do!
152104	Bad Company	How About That
152105	Gloria Estefan	Always Tomorrow
152109	Tom Cochrane	Washed Away
152110	Around The Way	Really Into You
152159	Jade	"I Wanna Love You (From ""Class Act"")"
152202	Marky Mark & The Funky Bunch	You Gotta Believe
152203	INXS	Not Enough Time
152205	Swing Out Sister	Am I The Same Girl
152207	Cathy Dennis	You Lied To Me
152256	Elton John	The One
152261	Peter Cetera	Restless Heart
152306	The Soup Dragons	Divine Thing
152308	Utah Saints	Something Good
152355	En Vogue	Giving Him Something He Can Feel
152359	Technotronic Featuring Ya Kid K	Move This
152371	Shakespear's Sister	Stay
152398	Madonna	This Used To Be My Playground
152405	Nona Gaye	I'm Overjoyed
152409	Sofia Shinas	The Message
152450	Guns N' Roses	November Rain
152459	Tom Cochrane	Life Is A Highway
152500	David Sanborn	Bang Bang
152502	Ephraim Lewis	Drowning In Your Eyes
152503	Rozalla	Everybody's Free (To Feel Good)
152506	Lil Suzy	Take Me In Your Arms
152507	Babyface (Featuring Toni Braxton)	"Give U My Heart (From ""Boomerang"")"
152509	Extreme	Rest In Peace
152510	After 7	Kickin' It
152582	Mary J. Blige	"You Remind Me (From ""Strictly Business"")"
152594	Brooks & Dunn	Boot Scootin' Boogie
152600	Rhythm Syndicate	"I Wanna Make Love To You (From ""Innocent Blood"")"
152608	Metallica	Sad But True
152609	Joe Public	Do You Everynite
152654	Billy Ray Cyrus	Achy Breaky Heart
152668	Richard Marx	Take This Heart
152691	The Cure	Friday I'm In Love
152699	2 Unlimited	Twilight Zone
152703	George Michael	Too Funky
152706	Voices	Yeah, Yeah, Yeah!
152709	CeCe Peniston	Inside That I Cried
152710	Jude Cole	Start The Car
152751	Sir Mix-A-Lot	Baby Got Back
152777	Kris Kross	Warm It Up
152801	The Cover Girls	Thank You
152806	U2	Even Better Than The Real Thing
152809	Wilson Phillips	Give It Up
152810	Shabba Ranks	"Mr. Loverman (From ""Deep Cover"")"
152847	Jodeci	Come & Talk To Me
152851	Luther Vandross And Janet Jackson With BBD And Ralph Tresvant	The Best Things In Life Are Free
152853	CeCe Peniston	Keep On Walkin'
152856	En Vogue	My Lovin' (You're Never Gonna Get It)
152887	The Cover Girls	Wishing On A Star
152900	Mariah Carey	I'll Be There
152903	A.L.T. And The Lost Civilization	Tequila
152905	The Black Crowes	Thorn In My Pride
152906	Michael Jackson	Jam
152908	Slaughter	Real Love
152909	Queen	We Are The Champions
152910	Red Hot Chili Peppers	Give It Away
153003	Lidell Townsell & M.T.F.	Get With U
153005	Ralph Tresvant	"Money Can't Buy You Love (From ""Mo' Money"")"
153007	Pete Rock & C.L. Smooth	They Reminisce Over You (T.R.O.Y.)
153008	Nirvana	Lithium
153009	DJ Quik	Jus Lyke Compton
153010	Tyler Collins	It Doesn't Matter
153054	Red Hot Chili Peppers	Under The Bridge
153102	Joe Public	I Miss You
153103	Vanessa Williams	Just For Tonight
153105	Annie Lennox	Why
153107	R. Kelly & Public Announcement	Honey Love
153108	East Coast Family	1-4-All-4-1
153109	Mitch Malloy	Nobody Wins In This War
153110	MC Nas-D & DJ Fred	It's My Cadillac (Got That Bass)
153159	Celine Dion	If You Asked Me To
153176	Das EFX	They Want EFX
153188	Color Me Badd	Slow Motion
153209	C+C Music Factory	Keep It Comin' (Dance Till You Can't Dance No More!)
153210	Me Phi Me	Sad New Day
153264	Genesis	Hold On My Heart
153306	The B-52s	Good Stuff
153307	Lionel Richie	Do It To Me
153310	A Tribe Called Quest	Scenario
153358	Sophie B. Hawkins	Damn I Wish I Was Your Lover
153359	Arrested Development	Tennessee
153374	Amy Grant	I Will Remember You
153403	Nice & Smooth	Sometimes I Rhyme Slow
153404	Billy Joel	"All Shook Up (From ""Honeymoon In Vegas"")"
153410	Michael Jackson	In The Closet
153498	L.A. Style	James Brown Is Dead
153501	Def Leppard	Make Love Like A Man
153505	Metallica	Wherever I May Roam
153508	Black Sheep	Strobelite Honey
153509	M.C. Brains	Brainstorming
153510	The College Boyz	Victim Of The Ghetto
153556	Kris Kross	Jump
153576	Mr. Big	Just Take My Heart
153608	Cause And Effect	Another Minute
153609	Wilson Phillips	You Won't See Me Cry
153610	Tag	The Way I Feel
153695	Stacy Earl	Slowly
153699	Boyz II Men	Please Don't Go
153702	Shanice	Silent Prayer
153705	Brotherhood Creed	Helluva
153706	Ugly Kid Joe	Everything About You
153707	Prince And The N.P.G.	Sexy MF
153709	Nyasia	Who's Got Your Love
153710	Indigo Girls	Galileo
153794	Good 2 Go	Never Satisfied
153800	The Black Crowes	Remedy
153803	Def Leppard	Let's Get Rocked
153805	Glenn Frey	I've Got Mine
153806	Monie Love	"Full Term Love (From ""Class Act"")"
153809	Bonnie Raitt	Not The Only One
153810	Mint Condition	Forever In Your Eyes
153853	Joe Public	Live And Learn
153856	Eric Clapton	Tears In Heaven
153857	Vanessa Williams	Save The Best For Last
153897	Tevin Campbell	Strawberry Letter 23
153900	TKA	Maria
153903	Linear	T.L.C.
153905	Firehouse	Reach For The Sky
153906	Keith Sweat	Why Me Baby?
153907	Beastie Boys	So What'cha Want
153964	U2	One
